type,text,check,predicted,phishing_prob
email,new su bridge some people are having problems getting the new monitor - you may not have the su bridge under your - start - programs - trading - sitara - su bridge monitor . to resolve this - you will need to fill out a security request to get it added to your start up profile . also - if you are using an old shortcut - this may no longer work - you need to trash the old short cut .,0,1,0.5235
email,info hpuente @ epelectric . com 915 - 543 - 4333,0,1,0.9963
sms,Your pussy is perfect!,0,1,0.8678
email,"____________________________________________________________ T H E . M O U T H P I E C E Monday, August 19th, 2002 ____________________________________________________________ Do you enjoy this publication? Then give your friends a FREE GIFT SUBSCRIPTION to it today. Just click below and ""Shag-a-Friend""! http://www.sendoutmail.com/shag_friend2.asp?l=mouthpiece Give a Gift Subscription! ____________________________________________________________ To SUBSCRIBE: http://www.shagmail.com/sub/mouthpiece.html To UNSUBSCRIBE: http://www.shagmail.com/unsub/mouthpiece.html To COMMENT, write to < editor@the-mouth.com > AOL Links: Subscribe Unsubscribe Email the Editor ____________________________________________________________ [m] q u o t e s . o f . t h e . d a y ""A Houston woman has been arrested for running over her husband three times and killing him with her Mercedes. The woman claims it was an accident. Three times. That shows you what a smooth ride the Mercedes is."" -Jay Leno""Itï¿½s been reported that the couple from ABCï¿½s reality show ""The Bachelor,"" has broken up. Itï¿½s not surprising since studies show that 60% of fake TV marriages end in divorce."" -Conan O'Brien""You know 'that look' women get when they want sex? Me neither."" -Steve Martin~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ sponsor ~~~~ Say Goodbye To Pain...It's As Easy As 1-2-3! * - COMPARE & SAVE $20.00 to the TV Product - *Don't let chronic pain stop you from enjoying life! Introducing New and Improved Blue Ease Pain Reliever. You've seen similar products selling on TV for as much as $39.99. Why pay that much when you can get better results for half the price? Simply apply Blue Ease to the targeted area and within minutes the pain vanishes. Blue Ease is Great For:* Arthritis * Insect stings/Spider bites * Lower back pain * Migraine Headaches * Sore muscles * Knee, hip, shoulder, hand pain * Burns & Sunburn * Sports injuries, strains & sprainsPLUS, Blue Ease is GUARANTEED to work for you! If it doesn't just return the unused portion for a refund. Order a 4 oz jar today for only $19.99, a savings of $20.00, by visiting: http://pulsetv.com/dw/blue.asp?aid=586&ent=696&email=mothlight@fastmail.fm Blue Ease ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ [m] h u m o r . s i t e s ^^^^^^^^^^^^^^^^^^^^^ BUG REVIEWThis website provides you with any kind of information you need to know about bugs. Search by the insects name or by location such as lawns and turfs, flowers, and trees and scrubs. This website comes in handy when trying to figure out what kind of weird bugs you have around the house.http://www.urbanext.uiuc.edu/bugreview/index.html-<>-MYSTERY PHOTOVisit each week to see if you can identify the object(s) in the mystery photo. It may be a close-up of some ordinary object or setting, or something photographed at an odd angle or in an unusual setting, or some unusual object. If you think you know what it is, enter your answer in our drawing. A winner will be chosen each week from among the correct entries. http://www.mysteryphoto.com~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ sponsor ~~~~ An Exquisite Genuine Blue-Topaz Necklace for FREE? UNBELIEVABLE! While supplies last, we are giving away these stunning Genuine Blue Topaz Necklaces - FREE! (you cover the s&h of $4.97)! This exquisitely cut Blue Topaz stone will make heads turn. A stunning pendant that is accented by a stylish, 18"" manmade gold chain, this gorgeous necklace makes a wonderful gift for a friend - or especially for yourself!BUT YOU MUST ACT RIGHT NOW! Due to an overwhelming response to this FREE offer there's no telling when our inventory will run out. Sorry -- limit 4 per order. GET YOUR FREE NECKLACE NOW: http://ads.pulsetv.com/al/a?aid=586&ent=183 Click Here ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ [m] b i t s . n . b o b s ^^^^^^^^^^^^^^^^^^^^^ Things You'll Never Hear A Man Say...1. I just love how Barry Manilow sings, don't you? 2. No, I don't want another beer. I have to work tomorrow. 3. You know, her breasts are just too big for my liking. 4. Sometimes I just want to be held. 5. Boy, that Barbara Walters on ""20/20"" is one sexy babe. 6. Sure, honey! I'd be happy to discuss the state of our relationship. 7. We haven't been to the mall for ages. Let's go shopping and I can hold your purse. 8. Forget Monday Night Football. Let's watch something meaningful on the ""Lifetime Channel."" 9. It's late. Put your clothes back on and I'll take you home. 10. Honey, I'm going to the store. Do you need more tampons? 11. Actually, I prefer it when *you* hold the remote. 12. I'm sick of beer. Give me a fruit juice. 13. Great! Your mother's coming to stay with us again. 14. I wonder if my gorgeous neighbour knows that her drapes are open when she's getting ready for bed. Maybe I should tell her. 15. No way. You weeded the garden last week. It's my turn. 16. Better get rid of these old Playboy magazines. I don't look at them any more. 17. I understand. 18. This movie has way too much gratuitous nudity. 19. Damn, we're late for church! 20. No! I don't want to see your sister's breasts. 21. Damn these onions, pass me a tissue. 22. Put some panties on, for Pete's sake. 23. Eat something! You are starting to look like a Victoria's Secret Model! 24. Don't pick that up, I got it. 25. Happy Anniversary! 26. Hey, isn't today your Mother's birthday? 27. Let's talk. I miss talking. 28. Gay men have rights too! 29. I am just too tired to have sex again today! 30. Are you losing weight, sweetie? _________________________________________________________ LINKS FOR AOL MEMBERS Today's Humor Sites: BUG REVIEW MYSTERY PHOTO------------------------------------------------------------ t h e . m o u t h p i e c e SUBSCRIBE/UNSUBSCRIBE instructions are at the TOP of this issue. ____________________________________________________________ END OF THE MOUTHPIECE - Another FREE ShagMail publication FREE fun in your mailbox every day!! Check out Shagmail.com FREE Newsletters Copyright 2002 by Pulse Direct, Inc. All rights reserved. Feel free to forward this, in its entirety, to others. --- You are currently subscribed to mouthpiece as: mothlight@fastmail.fm",0,1,0.9468
sms,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL,1,0,0.1623
email,"morozko « zero » : : : « » , , , ! ! ! - ! : 19 . 12 . 04 - , « » 17 . 00 21 . 12 . 04 - - , « » 17 . 00 22 . 12 . 04 - , 17 . 00 25 . 12 . 04 . - , « » , 11 . 00 - , « » , 17 . 00 26 . 12 . 04 . - - - , « » , 17 . 00 27 . 12 . 04 - , , 17 . 00 28 . 12 . 04 - - , « » 17 . 00 29 . 12 . 04 - , - - 17 . 00 30 . 12 . 04 - - , - - 17 . 00 1 . 01 . 05 - , ; 17 . 00 2 . 01 . 05 - - , , 17 . 00 3 . 01 . 05 - , . - - , « » 17 . 00 5 . 01 . 05 - , « » 17 . 00 6 . 01 . 05 - - , 17 . 00 8 . 01 . 05 - - , 18 . 00 9 . 01 . 05 - , 17 . 00 10 . 01 . 05 - , 17 . 00 : 0547484197 m , . , path heterochromatic pundit carby secondhand imroz adiaphorous menes monaco rundown transferral tidy angelico nanometer cheshunt neath rummy anapaest microtomy willa segment moustache seven leopardi wholehearted sapient gwent desmoid triton gwalior pervasion papal unite dorsoventral ninth rip mitis slate persecutory toilet % random _ textnormal hohenlohe veda cuernavaca wind tommy sloven parmigianino stratford satiable tit heenan seedling quarrymen tess epizoon",1,0,0.2732
sms,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",0,1,0.7274
sms,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",0,1,0.7213
email,"enron in action 11 . 06 . 00 holiday shopping support the rise school of houston while you do your holiday shopping ! participating stores in the center at for rise school ! post oak , 5000 westheimer ( across from the galleria ) , are donating a percentage of their sales on saturday , november 18 to the rise school . no cards to buy , all you need to do is shop ! stores include bbl classic , iloff jewelers , nature ' s way day spa and salon , sport clips all star haircuts and more - look for posters in participating stores . for more information about rise , check out www . riseschool . com . houston symphony enjoy the 4 th annual singles bash with the houston symphony on monday , november 20 from 6 : 00 p . m . - 7 : 00 p . m . singles mixer ! at sambuca jazz cafe ! this pre - concert party offers complimentary hors d ' oeuvres , live jazz quartet blue monks , door prizes and more , and is a prelude to the houston symphony concert at 8 : 00 p . m . featuring the legendary violinist midori ! tickets are $ 35 and include the mixer and concert ticket , and pre - paid reservations are required . don ' t miss out on this fun mixer - call 713 - 238 - 1477 . classical music subscribe to the 2000 - 2001 houston symphony casual classics season , where hosts and artists provide the audience happy hours ! with muscial examples and insights into the world of music before each spectacular performance . enjoy pre - concert happy hours featuring the blue monks jazz quartet as well as select opportunities to mingle backstage with guest artists if you purchase the ticket package . to find out more about program dates and highlights , visit www . houstonsymphony . org or call 713 - 224 - 7575 to subscribe . nutcracker come shop and support the talented houston ballet ! the houston ballet guild ' s 20 th annual nutcracker market will market be held at the astrohall novemeber 9 - 12 . merchants from around the country will showcase row after row of gifts for your early holiday shopping , so beat the crowd and join in on the early bird power shopping on saturday , november 11 from 8 : 00 a . m . to 10 : 00 a . m . tickets are $ 25 dollars each and parking is complimentary . for ticket information call 713 - 535 - 3231 or email nutcrackermarket @ houstonballet . org . chinese paintings are you an art lover ? come to the continental center i gallery ( continental building , 1600 smith , 2 nd floor ) and enjoy show chengyi li , an artist from china , and his selection of personal works of chinese art . the exhibit will run from october 30 to december 1 . enron employees receive a 10 % discount on the artist ' s works . for more information , contact maggie li at ext . 56011 or click here for a preview ! flood relief in massive floods in recent weeks have devastated much of the mekong delta in vietnam , and as much help as possible vietnam is needed to help the millions of victims driven out by the natural disaster . thousands of people have died and the main food source , rice , has been destroyed . homes and crops are not expected to recover until well after next year . food , water , and shelter are all in extremely short supply . every bit of help can make a huge difference ! for information on how to support this important cause , contact thu pham arnold at ext . 55125 . donations to the flood relief can be made to : vcsa flood relief vietnamese culture $ 16 if donating to the rose ( an organization that provides free mammograms for low - income women ) ; $ 75 for contractors . the 2 nd annual enron dog day afternoon ' howloween party ' hosted over 100 lovable canines and raised approximately $ 2 , 500 for organizations such as great beginnings , golden retreiver rescue , harris county animal control , and canines in action !",0,1,0.8106
email,"your cipro mawr resemblant damask courier pavanne vertex tenuous anionic affectate boatmen retard smyrna chaperone iridium parental gout extensive efferent first galena cretaceous geoffrey warrior ductwork inspect kabuki graham goldenseal hey pansy , - - - - - begin pgp signature - - - - - version : gnupg vl . 2 . 6 ( freebsd ) sv 4 sbbe 6 nwletdwldvz + sbg = sc - - - - - end pgp signature - - - - -",1,0,0.1727
email,"----------------------------------------------------------------- Back to school! Find out what's in store for September with a One Month Forecast for only $4.95! http://www.chartshop.com/scripts/runisa.dll?AO:495SHOP::DAILY -----------------------------------------------------------------Greetings --Here is your horoscope for Saturday, August 31:August is over, and Aquarius is looking forward to next month's new season. Excitement is tinged with anticipation. A relationship benefits wonderfully from your current surge of vitality. Until tomorrow,Kelli Fox, Your Astrologer http://www.astrology.com http://www.chartshop.com http://www.ivillage.comSneak a peek at the future with tomorrow's horoscope! http://horoscopes.astrology.com/index/dailyindextom.html----------------------------------------------------------------- Looking for Mr. Right? Take this quiz to narrow down your search. http://quiz.ivillage.com/astrology/tests/mrrightquiz.htm -----------------------------------------------------------------If you do not wish to continue receiving your daily horoscope by email, please click on the following link. http://www.astrology.com/unsubscribe/dailyhoroscope.html If you would like to edit your current information or add more signs, please click on the following link, or copy and paste it to your web browser. http://www.astrology.com/freedaily/ If you choose to reply to this message, please include the following lines in the body of your email: email recipient: mothlight@fastmail.fm--- annmn:[73eyn03eyn4prCg0120022u003eyn0mHe4BHe7m]",0,1,0.5541
email,"windows xp & office xp - > $ 80 . neutrality initializers teach east might . from , pay , every they . wall act , here . left quite which has , night . spell , able , hope , mark . an lot operate red fast excite . problem energy through egg prepare dance . why us , base be . sound key , broke moment mean . cover have , boy hot , correct , three .",1,0,0.3537
email,message subject goodbye,1,0,0.2412
email,j . lopez sold her home at graand ! laptops to buy !,1,0,0.0509
email,something she can ' t refuse,1,0,0.0312
email,"final notice hi there , get the lowest home ioan r [ a ] tes , while you can . home ioan r [ a ] tes are still dropping , but for how much longer ? this service is * f * r * e * e * . our technology searches over 968 le nders and we match you instantly with up to 4 competing le nders . http : / / www . quikmort . info i made my original programs available to the teachers around me . they were getting the same kind of success . i finally decided i had to make my noun program available to teachers and parents around the nation . we have been working on it for over 2 years . many of you have waited patiently . thank you for your patience . mark at 27 months looked ? normal ? . he came from a good family who provided lots of stimulation . mark had one word - - ' ba ' as in ' ball . ' everything was ' ba . ' after a few days of orientation in the classroom , i presented the computer . the first day he sat at the computer for 20 minutes and pressed the ball , bus , bee on the intellikeys keyboard over and over again . he then looked at me and pointed to the ball and said ? ba ? then he pointed to the bee and said ' be ' and the bus and said ' bu . ' i was astonished and his mother started to cry . brian was a boy with down ' s syndrome . he was taking several medications . brian came from a nurturing family and extended family who provided him with every opportunity . his mother was a teacher and wanted what was best for him . he exhibited no language and was considerably behind his other friends with down ? s syndrome . we set up a noun program at school . at first he seemed disinterested . he looked at the pictures and sucked his thumb . the more we encouraged him to engage the keyboard , the more he sucked his thumb . we then paired him with a child who was very interested in the noun program . suddenly the two were fighting over who was next to pick a picture . he worked several times a week at the computer . at his 3 - year iep , the team shook their heads . they didn ' t understand . despite the track record of many students with down ? s syndrome , brian ' s language was his best skill . i smiled and his mother winked at me . we are discreet sheep ; we wait to see how the drove is going , and then go with the drove . - mark twain [ samuel langhornne clemens ] ( 1835 - 1910 )",1,0,0.4865
sms,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0,1,0.8064
sms,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,0,0.3158
